adios,addio,au,revoir,tschuss
agua,acqua,eau,wasser,water
amigo,amico,ami,freund,friend
carne,carne,viande,fleisch,meat
cielo,cielo,cieux,himmel,sky
comida,cibo,nourriture,essen,food
escuela,scuola,ecole,schule,school
flor,fiore,fleur,blume,flower
fuego,fuoco,feu,feuer,fire
gato,gatto,chat,katze,cat
gracias,grazie,merci,danke,tank
hoja,foglia,feuille,blatt,leaf
hola,ciao,bonjour,hallo,goodbye
leche,latte,lait,milch,milk
libro,libro,livre,bush,book
luna,luna,lune,mond,moon
manzana,mela,pomme,apfel,apple
pan,pangrillo,pain,brot,bread
perro,cane,chien,hund,dog
queso,formaggio,fromage,käse,cheese
raíz,radice,racine,wurzel,root
si,si,oui,yes,yes
sol,sole,soleil,sonne,sun
tierra,terra,terre,erde,earth
viento,vento,vent,wind,wind
árbol,albero,arbre,baum,tree
